R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
2.0,Q1,-92.1667536971,-92.1644722612,-92.1662928745,2.2814,0.4608,3.750000,3.741174,3.749958
2.1,D0,-92.1776685002,-92.1745296100,-92.1773299982,3.1389,0.3385,0.750000,0.821452,0.750410
2.1,D1,-92.1776053433,-92.1749024794,-92.1772279295,2.7029,0.3774,0.750000,0.792594,0.750579
2.1,D2,-92.1591199316,-92.1561613782,-92.1587434994,2.9586,0.3764,0.750000,1.656774,0.754769
2.1,Q1,-92.1596131780,-92.1545553935,-92.1591392705,5.0578,0.4739,3.750000,3.688015,3.749788
2.2,D0,-92.1677564938,-92.1647743852,-92.1674823861,2.9821,0.2741,0.750000,0.852541,0.750291
2.2,D1,-92.1677397911,-92.1651528418,-92.1674832742,2.5869,0.2565,0.750000,0.819345,0.750286
2.2,D2,-92.1518499997,-92.1498465849,-92.1515677089,2.0034,0.2823,0.750000,1.884186,0.777641
2.2,Q1,-92.1539492905,-92.1490494548,-92.1536064662,4.8998,0.3428,3.750000,3.665308,3.749864
2.3,D0,-92.1619086904,-92.1594951803,-92.1614004349,2.4135,0.5083,0.750000,0.768664,0.750392
2.3,D1,-92.1616248024,-92.1588886395,-92.1611111688,2.7362,0.5136,0.750000,0.754190,0.750693
2.3,D2,-92.1485814521,-92.1455276027,-92.1480522536,3.0538,0.5292,0.750000,1.007537,0.800747
2.3,Q1,-92.1511292914,-92.1490155205,-92.1505897520,2.1138,0.5395,3.750000,3.733518,3.749968
2.4,D0,-92.1557547236,-92.1545800471,-92.1554457582,1.1747,0.3090,0.750000,0.778675,0.750519
2.4,D1,-92.1557479173,-92.1551843187,-92.1554173196,0.5636,0.3306,0.750000,0.750826,0.750294
2.4,D2,-92.1458871797,-92.1452356679,-92.1456405991,0.6515,0.2466,0.750000,2.132384,1.345435
2.4,Q1,-92.1471853826,-92.1456473688,-92.1468290561,1.5380,0.3563,3.750000,3.726950,3.749683
2.5,D0,-92.1523298457,-92.1518691145,-92.1519997015,0.4607,0.3301,0.750000,0.750831,0.750461
2.5,D1,-92.1523204028,-92.1511839727,-92.1520273398,1.1364,0.2931,0.750000,0.793140,0.750715
2.5,D2,-92.1448332125,-92.1443578702,-92.1446399389,0.4753,0.1933,0.750000,2.402129,2.063820
2.5,Q1,-92.1455670307,-92.1451881698,-92.1452333560,0.3789,0.3337,3.750000,3.750824,3.749795
2.6,D0,-92.1515491658,-92.1502442710,-92.1510674349,1.3049,0.4817,0.750000,0.916288,0.754460
2.6,D1,-92.1513280471,-92.1501375177,-92.1509615286,1.1905,0.3665,0.750000,0.901546,0.750304
2.6,D2,-92.1453918642,-92.1451847149,-92.1448817100,0.2071,0.5102,0.750000,2.844567,4.797007
2.6,Q1,-92.1462694874,-92.1431401061,-92.1455788945,3.1294,0.6906,3.750000,3.635921,3.747568
2.7,D0,-92.1499631800,-92.1486792015,-92.1494661209,1.2840,0.4971,0.750000,1.001069,0.762840
2.7,D1,-92.1497585517,-92.1485729559,-92.1494098105,1.1856,0.3487,0.750000,0.983847,0.750261
2.7,D2,-92.1452213568,-92.1450325768,-92.1446507382,0.1888,0.5706,0.750000,2.953252,1.988852
2.7,Q1,-92.1458825951,-92.1425893109,-92.1450653380,3.2933,0.8173,3.750000,3.608219,3.745397
2.8,D0,-92.1482727020,-92.1451226801,-92.1478051264,3.1500,0.4676,0.750000,2.008793,0.751279
2.8,D1,-92.1481312584,-92.1420519429,-92.1476420984,6.0793,0.4892,0.750000,1.035266,0.750454
2.8,D2,-92.1446670418,-92.1432149499,-92.1440402220,1.4521,0.6268,0.750000,2.812739,2.215490
2.8,Q1,-92.1451364755,-92.1083897580,-92.1446579678,36.7467,0.4785,3.750000,4.891275,3.749166
2.9,D0,-92.1471436182,-92.1456209711,-92.1467291570,1.5226,0.4145,0.750000,1.723219,0.750347
2.9,D1,-92.1469116914,-92.1452338809,-92.1465295390,1.6778,0.3822,0.750000,1.683134,0.751841
2.9,D2,-92.1445997625,-92.1441162737,-92.1441414423,0.4835,0.4583,0.750000,2.802502,1.718891
2.9,Q1,-92.1447584887,-92.1078733427,-92.1443429601,36.8851,0.4155,3.750000,4.365404,3.749925
3.0,D0,-92.1473001647,-92.1449018799,-92.1468429211,2.3983,0.4572,0.750000,2.257148,0.755667
3.0,D1,-92.1472170997,-92.1411233582,-92.1467202334,6.0937,0.4969,0.750000,1.687173,0.758971
3.0,D2,-92.1451899568,-92.1438488826,-92.1444163721,1.3411,0.7736,0.750000,2.787994,2.246606
3.0,Q1,-92.1455261089,-92.1095487611,-92.1450975155,35.9773,0.4286,3.750000,4.466919,3.746309
