R_angstrom,method,orbital_index,occupation
1.15,cipsi,2,1.91781060
1.15,cipsi,3,1.91779774
1.15,cipsi,4,1.02218172
1.15,cipsi,5,0.07970321
1.15,cipsi,6,0.07969393
1.15,cipsi,7,0.01492914
1.15,cipsi,8,0.00755816
1.15,cipsi,9,0.00694266
1.15,cipsi,10,0.00693594
1.15,cipsi,11,0.00637773
1.15,cipsi,12,0.00386320
1.15,cipsi,13,0.00347789
1.15,cipsi,14,0.00144189
1.15,cipsi,15,0.00144023
1.2,ref,0,1.98715170
1.2,ref,1,1.93580402
1.2,ref,2,1.90865899
1.2,ref,3,1.90865897
1.2,ref,4,1.02495523
1.2,ref,5,0.08929387
1.2,ref,6,0.08929385
1.2,ref,7,0.01771407
1.2,ref,8,0.00752742
1.2,ref,9,0.00692713
1.2,ref,10,0.00692713
1.2,ref,11,0.00662214
1.2,ref,12,0.00379616
1.2,ref,13,0.00354296
1.2,ref,14,0.00156318
1.2,ref,15,0.00156318
1.2,ext,0,1.98723271
1.2,ext,1,1.93615699
1.2,ext,2,1.90927380
1.2,ext,3,1.90918062
1.2,ext,4,1.02496385
1.2,ext,5,0.08882598
1.2,ext,6,0.08868381
1.2,ext,7,0.01750778
1.2,ext,8,0.00743779
1.2,ext,9,0.00688833
1.2,ext,10,0.00686213
1.2,ext,11,0.00655922
1.2,ext,12,0.00379636
1.2,ext,13,0.00348457
1.2,ext,14,0.00157552
1.2,ext,15,0.00157054
1.2,cipsi,0,1.98723432
1.2,cipsi,1,1.93594577
1.2,cipsi,2,1.90880621
1.2,cipsi,3,1.90879783
1.2,cipsi,4,1.02496271
1.2,cipsi,5,0.08918286
1.2,cipsi,6,0.08916888
1.2,cipsi,7,0.01763777
1.2,cipsi,8,0.00747770
1.2,cipsi,9,0.00689597
1.2,cipsi,10,0.00689505
1.2,cipsi,11,0.00658007
1.2,cipsi,12,0.00377946
1.2,cipsi,13,0.00351561
1.2,cipsi,14,0.00156034
1.2,cipsi,15,0.00155945
1.25,ref,0,1.98599826
1.25,ref,1,1.93064573
1.25,ref,2,1.89880002
1.25,ref,3,1.89880002
1.25,ref,4,1.02710261
1.25,ref,5,0.09958312
1.25,ref,6,0.09958312
1.25,ref,7,0.02077116
1.25,ref,8,0.00748132
1.25,ref,9,0.00690672
1.25,ref,10,0.00690672
1.25,ref,11,0.00676787
1.25,ref,12,0.00372106
1.25,ref,13,0.00356181
1.25,ref,14,0.00168522
1.25,ref,15,0.00168522
1.25,ext,0,1.98607427
1.25,ext,1,1.93102818
1.25,ext,2,1.89944307
1.25,ext,3,1.89937398
1.25,ext,4,1.02711097
1.25,ext,5,0.09902372
1.25,ext,6,0.09897985
1.25,ext,7,0.02052957
1.25,ext,8,0.00739186
1.25,ext,9,0.00687661
1.25,ext,10,0.00684739
