R_angstrom,n_configs,cumulative_weight
1.05,4258,100.0000000000
1.05,4301,100.0000000000
1.05,4344,100.0000000000
1.05,4368,100.0000000000
1.1,1,90.0171048335
1.1,44,99.0548304445
1.1,87,99.6126420416
1.1,130,99.7680461910
1.1,173,99.8469007060
1.1,216,99.8937972484
1.1,259,99.9253992494
1.1,302,99.9452691639
1.1,345,99.9581267193
1.1,388,99.9670826154
1.1,431,99.9739039323
1.1,474,99.9787807142
1.1,517,99.9827016502
1.1,560,99.9857420623
1.1,603,99.9880668156
1.1,646,99.9900177571
1.1,689,99.9916505123
1.1,732,99.9929366997
1.1,775,99.9940022039
1.1,818,99.9948639289
1.1,861,99.9955871755
1.1,904,99.9961642694
1.1,947,99.9966599180
1.1,990,99.9970905494
1.1,1033,99.9974572652
1.1,1076,99.9977704739
1.1,1119,99.9980428683
1.1,1162,99.9982762438
1.1,1205,99.9984795823
1.1,1248,99.9986558130
1.1,1291,99.9988091145
1.1,1334,99.9989453298
1.1,1377,99.9990687650
1.1,1420,99.9991778578
1.1,1463,99.9992753548
1.1,1506,99.9993604563
1.1,1549,99.9994361905
1.1,1592,99.9995038422
1.1,1635,99.9995647232
1.1,1678,99.9996176865
1.1,1721,99.9996647539
1.1,1764,99.9997064153
1.1,1807,99.9997427697
1.1,1850,99.9997744778
1.1,1893,99.9998025270
1.1,1936,99.9998266161
1.1,1979,99.9998476742
1.1,2022,99.9998666135
1.1,2065,99.9998832840
1.1,2108,99.9998979777
1.1,2151,99.9999109176
1.1,2194,99.9999220485
1.1,2237,99.9999315887
1.1,2280,99.9999395114
1.1,2323,99.9999464878
1.1,2366,99.9999527649
1.1,2409,99.9999583929
1.1,2452,99.9999632652
1.1,2495,99.9999675505
1.1,2538,99.9999712696
1.1,2581,99.9999744475
1.1,2624,99.9999772482
1.1,2667,99.9999797071
1.1,2710,99.9999819356
1.1,2753,99.9999839534
1.1,2796,99.9999857665
1.1,2839,99.9999874047
1.1,2882,99.9999888646
1.1,2925,99.9999901811
1.1,2968,99.9999913709
1.1,3011,99.9999924383
1.1,3054,99.9999934044
1.1,3097,99.9999942961
1.1,3140,99.9999950941
1.1,3183,99.9999958034
1.1,3226,99.9999964427
1.1,3269,99.9999970148
1.1,3312,99.9999975053
1.1,3355,99.9999979323
1.1,3398,99.9999983102
1.1,3441,99.9999986398
1.1,3484,99.9999989163
1.1,3527,99.9999991524
1.1,3570,99.9999993504
1.1,3613,99.9999995130
1.1,3656,99.9999996483
1.1,3699,99.9999997550
1.1,3742,99.9999998376
1.1,3785,99.9999998980
1.1,3828,99.9999999407
1.1,3871,99.9999999671
1.1,3914,99.9999999842
1.1,3957,99.9999999948
1.1,4000,99.9999999996
1.1,4043,100.0000000000
1.1,4086,100.0000000000
1.1,4129,100.0000000000
1.1,4172,100.0000000000
1.1,4215,100.0000000000
1.1,4258,100.0000000000
1.1,4301,100.0000000000
1.1,4344,100.0000000000
1.1,4368,100.0000000000
1.15,1,88.9551711764
1.15,44,99.0230967704
1.15,87,99.6442853958
1.15,130,99.8009857069
1.15,173,99.8679326998
1.15,216,99.9047166411
1.15,259,99.9302525614
1.15,302,99.9473536191
1.15,345,99.9579521680
1.15,388,99.9659003430
1.15,431,99.9722038247
1.15,474,99.9773901795
1.15,517,99.9815743559
1.15,560,99.9849579288
1.15,603,99.9875510458
1.15,646,99.9897058219
1.15,689,99.9913880677
1.15,732,99.9926996093
1.15,775,99.9937664726
1.15,818,99.9946356429
1.15,861,99.9953446719
1.15,904,99.9959503284
1.15,947,99.9964806979
1.15,990,99.9969498345
1.15,1033,99.9973522971
1.15,1076,99.9976762279
1.15,1119,99.9979559813
1.15,1162,99.9981986379
1.15,1205,99.9984114593
1.15,1248,99.9985985514
1.15,1291,99.9987610270
1.15,1334,99.9989026472
1.15,1377,99.9990299500
1.15,1420,99.9991424577
1.15,1463,99.9992411827
1.15,1506,99.9993254080
1.15,1549,99.9994007355
1.15,1592,99.9994687117
1.15,1635,99.9995299747
1.15,1678,99.9995845345
1.15,1721,99.9996334250
1.15,1764,99.9996775139
1.15,1807,99.9997163021
1.15,1850,99.9997497331
1.15,1893,99.9997784086
1.15,1936,99.9998038151
1.15,1979,99.9998265385
1.15,2022,99.9998466820
1.15,2065,99.9998646897
1.15,2108,99.9998810712
1.15,2151,99.9998953861
1.15,2194,99.9999077102
1.15,2237,99.9999184933
1.15,2280,99.9999279951
1.15,2323,99.9999363420
1.15,2366,99.9999436425
1.15,2409,99.9999499836
1.15,2452,99.9999555623
1.15,2495,99.9999604339
1.15,2538,99.9999647515
1.15,2581,99.9999686004
1.15,2624,99.9999720626
1.15,2667,99.9999751707
1.15,2710,99.9999779534
1.15,2753,99.9999804433
1.15,2796,99.9999826720
1.15,2839,99.9999846602
1.15,2882,99.9999864725
1.15,2925,99.9999881212
1.15,2968,99.9999896157
1.15,3011,99.9999909633
1.15,3054,99.9999921471
1.15,3097,99.9999932072
1.15,3140,99.9999941462
1.15,3183,99.9999949990
1.15,3226,99.9999957782
1.15,3269,99.9999964834
1.15,3312,99.9999971157
1.15,3355,99.9999976605
1.15,3398,99.9999981034
1.15,3441,99.9999984708
1.15,3484,99.9999987788
1.15,3527,99.9999990296
1.15,3570,99.9999992440
1.15,3613,99.9999994262
1.15,3656,99.9999995783
1.15,3699,99.9999996928
1.15,3742,99.9999997861
1.15,3785,99.9999998562
1.15,3828,99.9999999088
1.15,3871,99.9999999483
1.15,3914,99.9999999751
1.15,3957,99.9999999920
1.15,4000,99.9999999995
1.15,4043,100.0000000000
1.15,4086,100.0000000000
1.15,4129,100.0000000000
1.15,4172,100.0000000000
1.15,4215,100.0000000000
1.15,4258,100.0000000000
1.15,4301,100.0000000000
1.15,4344,100.0000000000
1.15,4368,100.0000000000
1.2,1,87.8424772217
1.2,44,98.9890946117
1.2,87,99.6261142239
1.2,130,99.7975532206
1.2,173,99.8647181779
1.2,216,99.9077885663
1.2,259,99.9340755969
1.2,302,99.9494067804
1.2,345,99.9604167425
1.2,388,99.9686624112
1.2,431,99.9746440810
1.2,474,99.9795383650
1.2,517,99.9833817688
1.2,560,99.9863332943
1.2,603,99.9887288552
1.2,646,99.9905681686
1.2,689,99.9920359995
1.2,732,99.9932069592
1.2,775,99.9941803136
1.2,818,99.9950156817
1.2,861,99.9957226593
1.2,904,99.9963240471
1.2,947,99.9968105042
1.2,990,99.9972280204
1.2,1033,99.9975930424
1.2,1076,99.9978961627
1.2,1119,99.9981657870
1.2,1162,99.9984049396
1.2,1205,99.9986112530
1.2,1248,99.9987894429
1.2,1291,99.9989428415
1.2,1334,99.9990699211
1.2,1377,99.9991831031
1.2,1420,99.9992809751
1.2,1463,99.9993676066
1.2,1506,99.9994402390
1.2,1549,99.9995045991
1.2,1592,99.9995623153
1.2,1635,99.9996123767
1.2,1678,99.9996570920
1.2,1721,99.9996966829
1.2,1764,99.9997310671
1.2,1807,99.9997614590
1.2,1850,99.9997879804
1.2,1893,99.9998118609
1.2,1936,99.9998335333
1.2,1979,99.9998524553
1.2,2022,99.9998694725
1.2,2065,99.9998849297
1.2,2108,99.9998986246
1.2,2151,99.9999110153
1.2,2194,99.9999216234
1.2,2237,99.9999308731
1.2,2280,99.9999386609
1.2,2323,99.9999453646
1.2,2366,99.9999513681
1.2,2409,99.9999567146
1.2,2452,99.9999614910
1.2,2495,99.9999658029
1.2,2538,99.9999697476
1.2,2581,99.9999732775
1.2,2624,99.9999763789
1.2,2667,99.9999791237
1.2,2710,99.9999816206
1.2,2753,99.9999838256
1.2,2796,99.9999857885
1.2,2839,99.9999875496
1.2,2882,99.9999891295
1.2,2925,99.9999905462
1.2,2968,99.9999918041
1.2,3011,99.9999929165
1.2,3054,99.9999938991
1.2,3097,99.9999947892
1.2,3140,99.9999955984
1.2,3183,99.9999962970
1.2,3226,99.9999968893
1.2,3269,99.9999974040
1.2,3312,99.9999978486
1.2,3355,99.9999982265
1.2,3398,99.9999985505
1.2,3441,99.9999988262
1.2,3484,99.9999990582
1.2,3527,99.9999992535
1.2,3570,99.9999994184
1.2,3613,99.9999995540
1.2,3656,99.9999996639
1.2,3699,99.9999997553
1.2,3742,99.9999998311
1.2,3785,99.9999998905
1.2,3828,99.9999999335
1.2,3871,99.9999999632
1.2,3914,99.9999999825
1.2,3957,99.9999999943
1.2,4000,99.9999999996
1.2,4043,100.0000000000
1.2,4086,100.0000000000
1.2,4129,100.0000000000
1.2,4172,100.0000000000
1.2,4215,100.0000000000
1.2,4258,100.0000000000
1.2,4301,100.0000000000
1.2,4344,100.0000000000
1.2,4368,100.0000000000
1.25,1,86.6171362796
1.25,44,98.9299194111
1.25,87,99.6016342952
1.25,130,99.7933658938
1.25,173,99.8627650550
1.25,216,99.9053442950
1.25,259,99.9321309480
1.25,302,99.9485017400
1.25,345,99.9593751337
1.25,388,99.9673510634
1.25,431,99.9736798615
1.25,474,99.9786029644
1.25,517,99.9824283546
1.25,560,99.9854157129
1.25,603,99.9878891065
1.25,646,99.9898182563
1.25,689,99.9913857432
1.25,732,99.9926925382
1.25,775,99.9937516304
1.25,818,99.9946680330
1.25,861,99.9954628735
1.25,904,99.9961094249
1.25,947,99.9966402778
1.25,990,99.9970905591
1.25,1033,99.9974790645
1.25,1076,99.9978080089
1.25,1119,99.9980911565
1.25,1162,99.9983402950
1.25,1205,99.9985527648
1.25,1248,99.9987356035
1.25,1291,99.9988965862
1.25,1334,99.9990351587
1.25,1377,99.9991532427
1.25,1420,99.9992537069
1.25,1463,99.9993392264
1.25,1506,99.9994153585
1.25,1549,99.9994841021
1.25,1592,99.9995444572
1.25,1635,99.9995975950
1.25,1678,99.9996439055
1.25,1721,99.9996853978
1.25,1764,99.9997227275
1.25,1807,99.9997550295
1.25,1850,99.9997833026
1.25,1893,99.9998077121
1.25,1936,99.9998294525
1.25,1979,99.9998489451
1.25,2022,99.9998664765
1.25,2065,99.9998820008
1.25,2108,99.9998954554
1.25,2151,99.9999071752
1.25,2194,99.9999177056
1.25,2237,99.9999270199
1.25,2280,99.9999354208
1.25,2323,99.9999429175
1.25,2366,99.9999494320
1.25,2409,99.9999551830
1.25,2452,99.9999603607
1.25,2495,99.9999650758
1.25,2538,99.9999693341
1.25,2581,99.9999731588
1.25,2624,99.9999764115
1.25,2667,99.9999793004
1.25,2710,99.9999818579
1.25,2753,99.9999840769
1.25,2796,99.9999860408
1.25,2839,99.9999878046
1.25,2882,99.9999893891
1.25,2925,99.9999907951
1.25,2968,99.9999920596
1.25,3011,99.9999931962
1.25,3054,99.9999941747
1.25,3097,99.9999950128
1.25,3140,99.9999957632
1.25,3183,99.9999964239
1.25,3226,99.9999969951
1.25,3269,99.9999975027
1.25,3312,99.9999979347
1.25,3355,99.9999983004
1.25,3398,99.9999986113
1.25,3441,99.9999988733
1.25,3484,99.9999990984
1.25,3527,99.9999992917
1.25,3570,99.9999994530
1.25,3613,99.9999995858
1.25,3656,99.9999996918
1.25,3699,99.9999997758
1.25,3742,99.9999998423
1.25,3785,99.9999998956
1.25,3828,99.9999999343
1.25,3871,99.9999999627
1.25,3914,99.9999999823
1.25,3957,99.9999999946
1.25,4000,99.9999999996
1.25,4043,100.0000000000
1.25,4086,100.0000000000
1.25,4129,100.0000000000
1.25,4172,100.0000000000
1.25,4215,100.0000000000
1.25,4258,100.0000000000
1.25,4301,100.0000000000
1.25,4344,100.0000000000
1.25,4368,100.0000000000
1.3,1,85.3079856623
1.3,44,98.7539343513
1.3,87,99.5563459090
1.3,130,99.7590377056
1.3,173,99.8361688315
1.3,216,99.8852836840
1.3,259,99.9167465666
1.3,302,99.9369783932
1.3,345,99.9505179489
1.3,388,99.9606752772
1.3,431,99.9685729455
1.3,474,99.9744147807
1.3,517,99.9789176510
1.3,560,99.9826583373
1.3,603,99.9857401509
1.3,646,99.9881333988
1.3,689,99.9899866382
1.3,732,99.9914651321
1.3,775,99.9927133458
1.3,818,99.9937852068
1.3,861,99.9946804989
1.3,904,99.9954216836
1.3,947,99.9960368518
1.3,990,99.9965652074
1.3,1033,99.9970272478
1.3,1076,99.9974249697
1.3,1119,99.9977536525
1.3,1162,99.9980306959
1.3,1205,99.9982729052
1.3,1248,99.9984877942
1.3,1291,99.9986739270
