R_angstrom,method,orbital_index,occupation
0.95,cipsi,2,1.97351712
0.95,cipsi,3,1.95353774
0.95,cipsi,4,1.95353770
0.95,cipsi,5,0.04599902
0.95,cipsi,6,0.04599867
0.95,cipsi,7,0.01183136
0.95,cipsi,8,0.01053138
0.95,cipsi,9,0.00656407
0.95,cipsi,10,0.00656384
0.95,cipsi,11,0.00515528
0.95,cipsi,12,0.00448581
0.95,cipsi,13,0.00448393
0.95,cipsi,14,0.00106298
0.95,cipsi,15,0.00106281
1.0,ref,0,1.99305015
1.0,ref,1,1.97994964
1.0,ref,2,1.97323055
1.0,ref,3,1.94695165
1.0,ref,4,1.94695165
1.0,ref,5,0.05283008
1.0,ref,6,0.05283008
1.0,ref,7,0.01178072
1.0,ref,8,0.01169915
1.0,ref,9,0.00653047
1.0,ref,10,0.00653047
1.0,ref,11,0.00565517
1.0,ref,12,0.00536087
1.0,ref,13,0.00438173
1.0,ref,14,0.00113381
1.0,ref,15,0.00113381
1.0,ext,0,1.99305020
1.0,ext,1,1.97994972
1.0,ext,2,1.97323066
1.0,ext,3,1.94695173
1.0,ext,4,1.94695172
1.0,ext,5,0.05283002
1.0,ext,6,0.05283001
1.0,ext,7,0.01178067
1.0,ext,8,0.01169912
1.0,ext,9,0.00653043
1.0,ext,10,0.00653042
1.0,ext,11,0.00565516
1.0,ext,12,0.00536082
1.0,ext,13,0.00438171
1.0,ext,14,0.00113380
1.0,ext,15,0.00113380
1.0,cipsi,0,1.99306041
1.0,cipsi,1,1.97996695
1.0,cipsi,2,1.97324954
1.0,cipsi,3,1.94696786
1.0,cipsi,4,1.94696779
1.0,cipsi,5,0.05281375
1.0,cipsi,6,0.05281201
1.0,cipsi,7,0.01177340
1.0,cipsi,8,0.01169454
1.0,cipsi,9,0.00652407
1.0,cipsi,10,0.00652403
1.0,cipsi,11,0.00564651
1.0,cipsi,12,0.00535480
1.0,cipsi,13,0.00437800
1.0,cipsi,14,0.00113324
1.0,cipsi,15,0.00113309
1.05,ref,0,1.98848606
1.05,ref,1,1.97716239
1.05,ref,2,1.97323868
1.05,ref,3,1.94088279
1.05,ref,4,1.94088279
1.05,ref,5,0.05973570
1.05,ref,6,0.05973570
1.05,ref,7,0.01637454
1.05,ref,8,0.01200709
1.05,ref,9,0.00948328
1.05,ref,10,0.00671148
1.05,ref,11,0.00671148
1.05,ref,12,0.00548677
1.05,ref,13,0.00132137
1.05,ref,14,0.00132137
1.05,ref,15,0.00045852
1.05,ext,0,1.98848627
1.05,ext,1,1.97716268
1.05,ext,2,1.97323902
1.05,ext,3,1.94088312
1.05,ext,4,1.94088310
1.05,ext,5,0.05973547
1.05,ext,6,0.05973539
1.05,ext,7,0.01637438
1.05,ext,8,0.01200686
1.05,ext,9,0.00948306
1.05,ext,10,0.00671139
1.05,ext,11,0.00671138
1.05,ext,12,0.00548668
1.05,ext,13,0.00132136
1.05,ext,14,0.00132135
1.05,ext,15,0.00045851
1.05,cipsi,0,1.98850095
1.05,cipsi,1,1.97718095
1.05,cipsi,2,1.97326198
1.05,cipsi,3,1.94090359
1.05,cipsi,4,1.94090237
1.05,cipsi,5,0.05971523
1.05,cipsi,6,0.05971310
1.05,cipsi,7,0.01636402
1.05,cipsi,8,0.01199837
1.05,cipsi,9,0.00947291
1.05,cipsi,10,0.00670431
1.05,cipsi,11,0.00670342
1.05,cipsi,12,0.00548124
1.05,cipsi,13,0.00131998
1.05,cipsi,14,0.00131984
1.05,cipsi,15,0.00045773
1.1,ref,0,1.98734355
1.1,ref,1,1.97468423
1.1,ref,2,1.97288581
1.1,ref,3,1.93240104
1.1,ref,4,1.93240104
1.1,ref,5,0.06835390
1.1,ref,6,0.06835390
1.1,ref,7,0.01978755
1.1,ref,8,0.01199461
1.1,ref,9,0.00941597
1.1,ref,10,0.00670769
1.1,ref,11,0.00670769
1.1,ref,12,0.00558119
1.1,ref,13,0.00142309
1.1,ref,14,0.00142309
1.1,ref,15,0.00053564
1.1,ext,0,1.98734372
1.1,ext,1,1.97468445
1.1,ext,2,1.97288609
1.1,ext,3,1.93240129
1.1,ext,4,1.93240129
1.1,ext,5,0.06835375
1.1,ext,6,0.06835371
1.1,ext,7,0.01978747
1.1,ext,8,0.01199444
1.1,ext,9,0.00941581
1.1,ext,10,0.00670757
1.1,ext,11,0.00670755
1.1,ext,12,0.00558109
1.1,ext,13,0.00142307
1.1,ext,14,0.00142306
1.1,ext,15,0.00053563
1.1,cipsi,0,1.98736213
1.1,cipsi,1,1.97470486
1.1,cipsi,2,1.97291459
1.1,cipsi,3,1.93242746
1.1,cipsi,4,1.93242663
1.1,cipsi,5,0.06832650
1.1,cipsi,6,0.06832608
1.1,cipsi,7,0.01977367
1.1,cipsi,8,0.01198527
1.1,cipsi,9,0.00940344
1.1,cipsi,10,0.00669909
1.1,cipsi,11,0.00669871
1.1,cipsi,12,0.00557459
1.1,cipsi,13,0.00142146
1.1,cipsi,14,0.00142132
1.1,cipsi,15,0.00053421
1.15,ref,0,1.98635464
1.15,ref,1,1.97255647
1.15,ref,2,1.97156239
1.15,ref,3,1.92267507
1.15,ref,4,1.92267507
1.15,ref,5,0.07819295
1.15,ref,6,0.07819295
1.15,ref,7,0.02373213
1.15,ref,8,0.01197033
1.15,ref,9,0.00934215
1.15,ref,10,0.00671032
1.15,ref,11,0.00671032
1.15,ref,12,0.00563500
1.15,ref,13,0.00153391
1.15,ref,14,0.00153391
1.15,ref,15,0.00062237
1.15,ext,0,1.98635483
1.15,ext,1,1.97255677
1.15,ext,2,1.97156261
1.15,ext,3,1.92267536
1.15,ext,4,1.92267533
1.15,ext,5,0.07819276
1.15,ext,6,0.07819274
1.15,ext,7,0.02373204
1.15,ext,8,0.01197016
1.15,ext,9,0.00934199
1.15,ext,10,0.00671019
1.15,ext,11,0.00671018
1.15,ext,12,0.00563489
1.15,ext,13,0.00153390
