R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
1.8,T1,-108.8846008665,-108.8845925136,-108.8844501030,0.0084,0.1508,2.000000,2.000003,2.000089
1.8,T2,-108.8142366045,-108.8142324255,-108.8140862823,0.0042,0.1503,2.000000,2.000001,2.000055
1.9,S0,-108.8894780243,-108.8894569979,-108.8892696869,0.0210,0.2083,0.000000,0.000015,0.000213
1.9,T1,-108.8730957771,-108.8730686037,-108.8729446154,0.0272,0.1512,2.000000,2.000009,2.000090
1.9,T2,-108.7973861524,-108.7973762724,-108.7972435944,0.0099,0.1426,2.000000,2.000003,2.000057
2.0,S0,-108.8758293780,-108.8758134395,-108.8756109667,0.0159,0.2184,0.000000,0.000012,0.000256
2.0,T1,-108.8649521005,-108.8649329586,-108.8648009299,0.0191,0.1512,2.000000,2.000007,2.000099
2.0,T2,-108.7835466224,-108.7835393430,-108.7833878390,0.0073,0.1588,2.000000,2.000003,2.000061
2.1,S0,-108.8670000554,-108.8669703043,-108.8667629890,0.0298,0.2371,0.000000,0.000025,0.000292
2.1,T1,-108.8595479804,-108.8595085696,-108.8593725497,0.0394,0.1754,2.000000,2.000015,2.000110
2.1,T2,-108.7727316057,-108.7727199605,-108.7720001263,0.0116,0.7315,2.000000,2.000003,2.014797
2.2,S0,-108.8614060658,-108.8613780628,-108.8611443856,0.0280,0.2617,0.000000,0.000022,0.000502
2.2,T1,-108.8561575214,-108.8561255567,-108.8559779545,0.0320,0.1796,2.000000,2.000011,2.000150
2.2,T2,-108.7647486589,-108.7647354351,-108.7645112932,0.0132,0.2374,2.000000,2.000005,2.000081
2.3,S0,-108.8578726698,-108.8578417126,-108.8575490143,0.0310,0.3237,0.000000,0.000028,0.001523
2.3,T1,-108.8541119632,-108.8540728452,-108.8539117668,0.0391,0.2002,2.000000,2.000014,2.000407
2.3,T2,-108.7548826472,-108.7548674107,-108.7545240982,0.0152,0.3585,2.000000,2.000006,2.000124
2.4,S0,-108.8556080978,-108.8555877933,-108.8553690126,0.0203,0.2391,0.000000,0.000018,0.001082
2.4,T1,-108.8528923105,-108.8528658851,-108.8527285774,0.0264,0.1637,2.000000,2.000009,2.000268
