R_angstrom,n_configs,cumulative_weight
0.85,4258,100.0000000000
0.85,4301,100.0000000000
0.85,4344,100.0000000000
0.85,4368,100.0000000000
0.9,1,94.2282839860
0.9,44,99.4656829885
0.9,87,99.8481885301
0.9,130,99.9202912657
0.9,173,99.9503745298
0.9,216,99.9644822236
0.9,259,99.9724807843
0.9,302,99.9782604959
0.9,345,99.9823844227
0.9,388,99.9854314381
0.9,431,99.9879211006
0.9,474,99.9899029163
0.9,517,99.9914992963
0.9,560,99.9928315260
0.9,603,99.9939328209
0.9,646,99.9948589656
0.9,689,99.9956481990
0.9,732,99.9962917990
0.9,775,99.9968291495
0.9,818,99.9972793892
0.9,861,99.9976577656
0.9,904,99.9979654632
0.9,947,99.9982139206
0.9,990,99.9984247723
0.9,1033,99.9986057546
0.9,1076,99.9987645783
0.9,1119,99.9989042034
0.9,1162,99.9990247103
0.9,1205,99.9991339478
0.9,1248,99.9992340216
0.9,1291,99.9993218862
0.9,1334,99.9993985926
0.9,1377,99.9994678414
0.9,1420,99.9995283744
0.9,1463,99.9995801744
0.9,1506,99.9996251205
0.9,1549,99.9996650876
0.9,1592,99.9997000574
0.9,1635,99.9997301632
0.9,1678,99.9997573033
0.9,1721,99.9997813968
0.9,1764,99.9998035838
0.9,1807,99.9998240653
0.9,1850,99.9998426846
0.9,1893,99.9998594983
0.9,1936,99.9998744776
0.9,1979,99.9998882214
0.9,2022,99.9999002337
0.9,2065,99.9999105326
0.9,2108,99.9999197030
0.9,2151,99.9999278234
0.9,2194,99.9999352091
0.9,2237,99.9999419129
0.9,2280,99.9999479043
0.9,2323,99.9999532152
0.9,2366,99.9999580164
0.9,2409,99.9999624408
0.9,2452,99.9999663878
0.9,2495,99.9999699846
0.9,2538,99.9999731618
0.9,2581,99.9999759963
0.9,2624,99.9999785391
0.9,2667,99.9999808380
0.9,2710,99.9999828554
0.9,2753,99.9999846527
0.9,2796,99.9999862831
0.9,2839,99.9999877863
0.9,2882,99.9999891643
0.9,2925,99.9999903882
0.9,2968,99.9999914830
0.9,3011,99.9999924577
0.9,3054,99.9999933220
0.9,3097,99.9999940956
0.9,3140,99.9999947949
0.9,3183,99.9999954260
0.9,3226,99.9999960021
0.9,3269,99.9999965046
0.9,3312,99.9999969488
0.9,3355,99.9999973474
0.9,3398,99.9999977062
0.9,3441,99.9999980268
0.9,3484,99.9999983105
0.9,3527,99.9999985665
0.9,3570,99.9999987980
0.9,3613,99.9999989994
0.9,3656,99.9999991757
0.9,3699,99.9999993276
0.9,3742,99.9999994564
0.9,3785,99.9999995644
0.9,3828,99.9999996534
0.9,3871,99.9999997278
0.9,3914,99.9999997912
0.9,3957,99.9999998456
0.9,4000,99.9999998901
0.9,4043,99.9999999250
0.9,4086,99.9999999511
0.9,4129,99.9999999721
0.9,4172,99.9999999862
0.9,4215,99.9999999945
0.9,4258,99.9999999990
0.9,4301,100.0000000000
0.9,4344,100.0000000000
0.9,4368,100.0000000000
0.95,1,93.6134419756
0.95,44,99.3310008034
0.95,87,99.7866891402
0.95,130,99.8850632146
0.95,173,99.9250959181
0.95,216,99.9490359119
0.95,259,99.9620128390
0.95,302,99.9702641051
0.95,345,99.9758543777
0.95,388,99.9801037022
0.95,431,99.9834303300
0.95,474,99.9862015169
0.95,517,99.9883487553
0.95,560,99.9901179781
0.95,603,99.9915508701
0.95,646,99.9927781426
0.95,689,99.9938110463
0.95,732,99.9946721712
0.95,775,99.9953818512
0.95,818,99.9960037166
0.95,861,99.9965422144
0.95,904,99.9970019688
0.95,947,99.9973839871
0.95,990,99.9977036428
0.95,1033,99.9979809154
0.95,1076,99.9982144958
0.95,1119,99.9984178579
0.95,1162,99.9985932613
0.95,1205,99.9987467934
0.95,1248,99.9988834156
0.95,1291,99.9990042179
0.95,1334,99.9991109040
0.95,1377,99.9992043671
0.95,1420,99.9992881753
0.95,1463,99.9993611168
0.95,1506,99.9994283616
0.95,1549,99.9994897896
0.95,1592,99.9995428173
0.95,1635,99.9995880760
0.95,1678,99.9996285293
0.95,1721,99.9996651777
0.95,1764,99.9996985967
0.95,1807,99.9997286835
0.95,1850,99.9997553563
0.95,1893,99.9997795714
0.95,1936,99.9998017292
0.95,1979,99.9998223051
0.95,2022,99.9998410622
0.95,2065,99.9998574318
0.95,2108,99.9998725080
0.95,2151,99.9998859470
0.95,2194,99.9998979681
0.95,2237,99.9999090851
0.95,2280,99.9999191640
0.95,2323,99.9999280178
0.95,2366,99.9999359486
0.95,2409,99.9999429213
0.95,2452,99.9999491416
0.95,2495,99.9999548497
0.95,2538,99.9999599686
0.95,2581,99.9999645093
0.95,2624,99.9999686289
0.95,2667,99.9999722773
0.95,2710,99.9999755334
0.95,2753,99.9999783364
0.95,2796,99.9999808343
0.95,2839,99.9999831160
0.95,2882,99.9999851452
0.95,2925,99.9999869118
0.95,2968,99.9999884688
0.95,3011,99.9999898712
0.95,3054,99.9999911193
0.95,3097,99.9999922407
0.95,3140,99.9999932556
0.95,3183,99.9999941382
0.95,3226,99.9999949159
0.95,3269,99.9999956141
0.95,3312,99.9999962386
0.95,3355,99.9999968027
0.95,3398,99.9999972839
0.95,3441,99.9999977011
0.95,3484,99.9999980752
0.95,3527,99.9999984022
0.95,3570,99.9999986810
0.95,3613,99.9999989224
0.95,3656,99.9999991391
0.95,3699,99.9999993291
0.95,3742,99.9999994917
0.95,3785,99.9999996197
0.95,3828,99.9999997217
0.95,3871,99.9999998040
0.95,3914,99.9999998718
0.95,3957,99.9999999239
0.95,4000,99.9999999625
0.95,4043,99.9999999872
0.95,4086,99.9999999984
0.95,4129,100.0000000000
0.95,4172,100.0000000000
0.95,4215,100.0000000000
0.95,4258,100.0000000000
0.95,4301,100.0000000000
0.95,4344,100.0000000000
0.95,4368,100.0000000000
1.0,1,92.9036750726
1.0,44,99.3135512988
1.0,87,99.7657042451
1.0,130,99.8857307858
1.0,173,99.9241134775
1.0,216,99.9438689550
1.0,259,99.9571376546
1.0,302,99.9661538583
1.0,345,99.9728567483
1.0,388,99.9776506394
1.0,431,99.9814533773
1.0,474,99.9845782862
1.0,517,99.9870275280
1.0,560,99.9890267842
1.0,603,99.9907054923
1.0,646,99.9920816768
1.0,689,99.9932444159
1.0,732,99.9942107795
1.0,775,99.9950367249
1.0,818,99.9957173752
1.0,861,99.9962767830
1.0,904,99.9967487579
1.0,947,99.9971459533
1.0,990,99.9974805597
1.0,1033,99.9977673161
1.0,1076,99.9980151870
1.0,1119,99.9982266733
1.0,1162,99.9984100258
1.0,1205,99.9985730426
1.0,1248,99.9987179605
1.0,1291,99.9988468408
1.0,1334,99.9989642871
1.0,1377,99.9990717887
1.0,1420,99.9991666027
1.0,1463,99.9992497225
1.0,1506,99.9993232915
1.0,1549,99.9993896582
1.0,1592,99.9994514301
1.0,1635,99.9995071789
1.0,1678,99.9995576698
1.0,1721,99.9996036216
1.0,1764,99.9996453835
1.0,1807,99.9996827583
1.0,1850,99.9997153768
1.0,1893,99.9997445869
1.0,1936,99.9997713364
1.0,1979,99.9997959700
1.0,2022,99.9998180841
1.0,2065,99.9998381657
1.0,2108,99.9998559279
1.0,2151,99.9998714424
1.0,2194,99.9998851681
1.0,2237,99.9998974278
1.0,2280,99.9999083835
1.0,2323,99.9999182377
1.0,2366,99.9999269894
1.0,2409,99.9999345854
1.0,2452,99.9999415454
1.0,2495,99.9999477962
1.0,2538,99.9999534892
1.0,2581,99.9999585064
1.0,2624,99.9999630158
1.0,2667,99.9999671091
1.0,2710,99.9999707929
1.0,2753,99.9999741587
1.0,2796,99.9999771730
1.0,2839,99.9999797609
1.0,2882,99.9999820393
1.0,2925,99.9999840702
1.0,2968,99.9999858822
1.0,3011,99.9999874445
1.0,3054,99.9999888450
1.0,3097,99.9999901296
1.0,3140,99.9999912902
1.0,3183,99.9999923261
1.0,3226,99.9999932527
1.0,3269,99.9999940912
1.0,3312,99.9999948688
1.0,3355,99.9999955717
1.0,3398,99.9999962023
1.0,3441,99.9999967689
1.0,3484,99.9999972846
1.0,3527,99.9999977383
1.0,3570,99.9999981331
1.0,3613,99.9999984611
1.0,3656,99.9999987483
1.0,3699,99.9999990054
1.0,3742,99.9999992310
1.0,3785,99.9999994092
1.0,3828,99.9999995560
1.0,3871,99.9999996719
1.0,3914,99.9999997649
1.0,3957,99.9999998369
1.0,4000,99.9999998955
1.0,4043,99.9999999424
1.0,4086,99.9999999743
1.0,4129,99.9999999925
1.0,4172,99.9999999999
1.0,4215,100.0000000000
1.0,4258,100.0000000000
1.0,4301,100.0000000000
1.0,4344,100.0000000000
1.0,4368,100.0000000000
1.05,1,92.0272415153
