R_angstrom,method,root_index,E_root_Ha,overlap_sq_D0,overlap_sq_D1,overlap_sq_D2,overlap_sq_Q1
0.8,ExtSQD,9,-75.0125203130,2.576840e-34,3.941634e-12,3.356223e-30,1.367780e-27
0.8,CIPSI_EN_SQD,0,-75.5150102759,9.999852e-01,1.402762e-23,1.014347e-35,5.100862e-38
0.8,CIPSI_EN_SQD,1,-75.5149866160,1.402757e-23,9.999841e-01,1.002058e-27,2.184008e-29
0.8,CIPSI_EN_SQD,2,-75.3470336018,3.791167e-35,1.021347e-27,9.999843e-01,1.690387e-27
0.8,CIPSI_EN_SQD,3,-75.1756308635,1.139360e-36,2.227168e-29,1.688053e-27,9.999697e-01
0.8,CIPSI_EN_SQD,4,-75.1470473541,3.353103e-37,3.221205e-30,7.106828e-28,1.606356e-06
0.8,CIPSI_EN_SQD,5,-75.0813158503,4.393954e-34,5.043122e-29,2.457682e-11,1.045916e-27
0.8,CIPSI_EN_SQD,6,-75.0812936647,1.356083e-36,9.036759e-32,2.811332e-28,2.196103e-09
0.8,CIPSI_EN_SQD,7,-75.0306256014,2.045639e-38,3.526255e-29,8.588624e-11,2.051609e-27
0.8,CIPSI_EN_SQD,8,-75.0132597827,1.125107e-10,8.087850e-30,7.643252e-30,2.348456e-27
0.8,CIPSI_EN_SQD,9,-75.0132336565,1.072718e-29,1.640150e-10,7.232413e-30,1.680671e-27
0.85,ExtSQD,0,-75.5393727939,9.999972e-01,1.833846e-23,4.611668e-38,9.309055e-37
0.85,ExtSQD,1,-75.5393586014,1.833835e-23,9.999970e-01,2.588968e-28,6.815047e-29
0.85,ExtSQD,2,-75.3738019124,7.307966e-36,2.542496e-28,9.999967e-01,5.621518e-28
0.85,ExtSQD,3,-75.2132121531,1.286316e-36,6.842020e-29,5.428876e-28,9.991381e-01
0.85,ExtSQD,4,-75.1837989976,7.242417e-37,1.339601e-32,2.902154e-28,5.726328e-04
0.85,ExtSQD,5,-75.1183660543,3.467067e-35,2.459678e-28,5.606867e-10,3.282120e-24
0.85,ExtSQD,6,-75.1183173276,1.206891e-36,2.146153e-29,1.259537e-29,3.789437e-05
0.85,ExtSQD,7,-75.0686498024,4.909683e-37,2.245696e-28,8.112810e-10,1.981409e-27
0.85,ExtSQD,8,-75.0602421523,1.486216e-10,1.169277e-34,1.334823e-27,2.205505e-34
0.85,ExtSQD,9,-75.0597005745,3.472659e-33,9.478909e-11,1.605516e-32,4.021509e-29
0.85,CIPSI_EN_SQD,0,-75.5392210783,9.999804e-01,1.161686e-19,6.463821e-35,7.171680e-37
0.85,CIPSI_EN_SQD,1,-75.5391992876,1.161675e-19,9.999794e-01,4.922192e-29,1.117202e-28
0.85,CIPSI_EN_SQD,2,-75.3736601280,1.115306e-35,4.697557e-29,9.999809e-01,4.379158e-28
