R_angstrom,method,orbital_index,occupation
0.85,ref,16,0.00049953
0.85,ref,17,0.00005665
0.85,ext,0,1.98260317
0.85,ext,1,1.97471945
0.85,ext,2,1.97031231
0.85,ext,3,0.99400979
0.85,ext,4,0.02104309
0.85,ext,5,0.01613350
0.85,ext,6,0.00985403
0.85,ext,7,0.00715483
0.85,ext,8,0.00507365
0.85,ext,9,0.00476160
0.85,ext,10,0.00410781
0.85,ext,11,0.00379530
0.85,ext,12,0.00379515
0.85,ext,13,0.00086717
0.85,ext,14,0.00065736
0.85,ext,15,0.00055537
0.85,ext,16,0.00049962
0.85,ext,17,0.00005679
0.85,cipsi,0,1.98265944
0.85,cipsi,1,1.97478001
0.85,cipsi,2,1.97036772
0.85,cipsi,3,0.99400579
0.85,cipsi,4,0.02102853
0.85,cipsi,5,0.01610844
0.85,cipsi,6,0.00983919
0.85,cipsi,7,0.00714030
0.85,cipsi,8,0.00506233
0.85,cipsi,9,0.00474328
0.85,cipsi,10,0.00408201
0.85,cipsi,11,0.00378230
0.85,cipsi,12,0.00376982
0.85,cipsi,13,0.00086589
0.85,cipsi,14,0.00065606
0.85,cipsi,15,0.00055544
0.85,cipsi,16,0.00049589
0.85,cipsi,17,0.00005754
0.9,ref,0,1.98232776
0.9,ref,1,1.97442439
0.9,ref,2,1.96751186
0.9,ref,3,0.99389825
0.9,ref,4,0.02414396
0.9,ref,5,0.01642259
0.9,ref,6,0.00978217
0.9,ref,7,0.00729892
0.9,ref,8,0.00505096
0.9,ref,9,0.00469989
0.9,ref,10,0.00403240
0.9,ref,11,0.00378726
0.9,ref,12,0.00378572
0.9,ref,13,0.00096268
0.9,ref,14,0.00068281
0.9,ref,15,0.00061058
0.9,ref,16,0.00052080
0.9,ref,17,0.00005701
0.9,ext,0,1.98233277
0.9,ext,1,1.97443161
0.9,ext,2,1.96752343
0.9,ext,3,0.99390625
0.9,ext,4,0.02413295
0.9,ext,5,0.01642033
0.9,ext,6,0.00977777
0.9,ext,7,0.00729235
0.9,ext,8,0.00504814
0.9,ext,9,0.00469724
0.9,ext,10,0.00403068
0.9,ext,11,0.00378738
0.9,ext,12,0.00378503
0.9,ext,13,0.00096277
0.9,ext,14,0.00068298
0.9,ext,15,0.00061026
0.9,ext,16,0.00052090
0.9,ext,17,0.00005715
0.9,cipsi,0,1.98236478
0.9,cipsi,1,1.97446432
0.9,cipsi,2,1.96755427
0.9,cipsi,3,0.99391056
0.9,cipsi,4,0.02412440
0.9,cipsi,5,0.01640772
0.9,cipsi,6,0.00976383
0.9,cipsi,7,0.00728764
0.9,cipsi,8,0.00503723
0.9,cipsi,9,0.00468246
0.9,cipsi,10,0.00401525
0.9,cipsi,11,0.00378133
0.9,cipsi,12,0.00377532
0.9,cipsi,13,0.00096125
0.9,cipsi,14,0.00068189
0.9,cipsi,15,0.00061045
0.9,cipsi,16,0.00051942
0.9,cipsi,17,0.00005787
0.95,ref,0,1.98210192
0.95,ref,1,1.97416182
0.95,ref,2,1.96418217
0.95,ref,3,0.99380188
0.95,ref,4,0.02775893
0.95,ref,5,0.01668611
0.95,ref,6,0.00970157
0.95,ref,7,0.00741797
0.95,ref,8,0.00501966
0.95,ref,9,0.00462296
0.95,ref,10,0.00394569
0.95,ref,11,0.00377830
0.95,ref,12,0.00377582
0.95,ref,13,0.00107656
0.95,ref,14,0.00070367
0.95,ref,15,0.00066742
0.95,ref,16,0.00053792
0.95,ref,17,0.00005963
0.95,ext,0,1.98210648
0.95,ext,1,1.97416987
0.95,ext,2,1.96419517
0.95,ext,3,0.99380994
0.95,ext,4,0.02774616
0.95,ext,5,0.01668384
0.95,ext,6,0.00969775
0.95,ext,7,0.00741158
0.95,ext,8,0.00501679
0.95,ext,9,0.00461987
0.95,ext,10,0.00394371
0.95,ext,11,0.00377842
0.95,ext,12,0.00377509
0.95,ext,13,0.00107665
0.95,ext,14,0.00070387
0.95,ext,15,0.00066705
0.95,ext,16,0.00053799
0.95,ext,17,0.00005977
0.95,cipsi,0,1.98213696
