R_angstrom,n_configs,cumulative_weight
0.75,3001,99.9999999999
0.75,3031,100.0000000000
0.75,3060,100.0000000000
0.8,1,96.2732945848
0.8,31,99.1656041384
0.8,61,99.7354193646
0.8,91,99.8839157447
0.8,121,99.9426608368
0.8,151,99.9636269502
0.8,181,99.9727670915
0.8,211,99.9781310408
0.8,241,99.9820313235
0.8,271,99.9849840442
0.8,301,99.9872823352
0.8,331,99.9890859243
0.8,361,99.9905106215
0.8,391,99.9916869181
0.8,421,99.9927079590
0.8,451,99.9935723385
0.8,481,99.9943336595
0.8,511,99.9950058565
0.8,541,99.9955967320
0.8,571,99.9961074145
0.8,601,99.9965447903
0.8,631,99.9969366197
0.8,661,99.9972812992
0.8,691,99.9975775492
0.8,721,99.9978362728
0.8,751,99.9980680132
0.8,781,99.9982793862
0.8,811,99.9984665688
0.8,841,99.9986327772
0.8,871,99.9987791252
0.8,901,99.9989136018
0.8,931,99.9990326636
0.8,961,99.9991355704
0.8,991,99.9992250286
0.8,1021,99.9993033429
0.8,1051,99.9993724080
0.8,1081,99.9994356904
0.8,1111,99.9994919296
0.8,1141,99.9995432438
0.8,1171,99.9995894169
0.8,1201,99.9996314359
0.8,1231,99.9996692323
0.8,1261,99.9997031548
0.8,1291,99.9997340008
0.8,1321,99.9997615955
0.8,1351,99.9997868274
0.8,1381,99.9998092392
0.8,1411,99.9998292379
0.8,1441,99.9998477763
0.8,1471,99.9998645244
0.8,1501,99.9998795151
0.8,1531,99.9998925998
0.8,1561,99.9999045576
0.8,1591,99.9999149022
0.8,1621,99.9999239869
0.8,1651,99.9999320313
0.8,1681,99.9999391379
0.8,1711,99.9999455906
0.8,1741,99.9999514187
0.8,1771,99.9999566667
0.8,1801,99.9999614085
0.8,1831,99.9999657591
0.8,1861,99.9999696759
0.8,1891,99.9999731341
0.8,1921,99.9999761340
0.8,1951,99.9999787549
0.8,1981,99.9999811488
0.8,2011,99.9999832935
0.8,2041,99.9999852163
0.8,2071,99.9999869517
0.8,2101,99.9999885100
0.8,2131,99.9999898802
0.8,2161,99.9999910993
0.8,2191,99.9999921650
0.8,2221,99.9999931098
0.8,2251,99.9999939468
0.8,2281,99.9999946976
0.8,2311,99.9999953908
0.8,2341,99.9999959927
0.8,2371,99.9999965215
0.8,2401,99.9999969967
0.8,2431,99.9999974101
0.8,2461,99.9999977667
0.8,2491,99.9999980886
0.8,2521,99.9999983736
0.8,2551,99.9999986242
0.8,2581,99.9999988411
0.8,2611,99.9999990320
0.8,2641,99.9999991996
0.8,2671,99.9999993479
0.8,2701,99.9999994755
0.8,2731,99.9999995860
0.8,2761,99.9999996814
0.8,2791,99.9999997633
0.8,2821,99.9999998324
0.8,2851,99.9999998851
0.8,2881,99.9999999266
0.8,2911,99.9999999576
0.8,2941,99.9999999801
0.8,2971,99.9999999941
0.8,3001,99.9999999999
0.8,3031,100.0000000000
0.8,3060,100.0000000000
0.85,1,96.1242296677
0.85,31,99.1476893682
0.85,61,99.7298446067
0.85,91,99.8831434695
0.85,121,99.9399762663
0.85,151,99.9622979171
0.85,181,99.9719004593
0.85,211,99.9774427552
0.85,241,99.9816657976
0.85,271,99.9846417543
0.85,301,99.9869584901
0.85,331,99.9888233361
0.85,361,99.9903212387
0.85,391,99.9915516330
0.85,421,99.9925704271
0.85,451,99.9934437432
0.85,481,99.9942024163
0.85,511,99.9948833456
0.85,541,99.9954817370
0.85,571,99.9959923089
0.85,601,99.9964250737
0.85,631,99.9968172765
0.85,661,99.9971645311
0.85,691,99.9974670648
0.85,721,99.9977395546
0.85,751,99.9979861818
0.85,781,99.9982045013
0.85,811,99.9984009301
0.85,841,99.9985776037
0.85,871,99.9987386910
0.85,901,99.9988810212
0.85,931,99.9990071653
0.85,961,99.9991166142
0.85,991,99.9992114985
0.85,1021,99.9992930739
0.85,1051,99.9993648819
0.85,1081,99.9994288100
0.85,1111,99.9994861160
0.85,1141,99.9995381708
0.85,1171,99.9995843462
0.85,1201,99.9996266852
0.85,1231,99.9996647902
0.85,1261,99.9996991412
0.85,1291,99.9997296160
0.85,1321,99.9997574463
0.85,1351,99.9997826451
0.85,1381,99.9998049441
0.85,1411,99.9998251093
0.85,1441,99.9998434197
0.85,1471,99.9998604496
0.85,1501,99.9998758267
0.85,1531,99.9998896574
0.85,1561,99.9999021060
0.85,1591,99.9999127781
0.85,1621,99.9999221469
0.85,1651,99.9999305763
0.85,1681,99.9999380390
0.85,1711,99.9999448296
0.85,1741,99.9999508131
0.85,1771,99.9999561839
0.85,1801,99.9999610803
0.85,1831,99.9999654912
0.85,1861,99.9999693735
0.85,1891,99.9999727871
0.85,1921,99.9999758373
0.85,1951,99.9999785840
0.85,1981,99.9999809787
0.85,2011,99.9999831596
0.85,2041,99.9999851605
0.85,2071,99.9999869455
0.85,2101,99.9999885166
0.85,2131,99.9999898932
0.85,2161,99.9999911227
0.85,2191,99.9999921998
0.85,2221,99.9999931158
0.85,2251,99.9999939354
0.85,2281,99.9999946742
0.85,2311,99.9999953416
0.85,2341,99.9999959404
0.85,2371,99.9999964705
0.85,2401,99.9999969397
0.85,2431,99.9999973514
0.85,2461,99.9999977137
0.85,2491,99.9999980348
0.85,2521,99.9999983181
0.85,2551,99.9999985702
0.85,2581,99.9999987955
0.85,2611,99.9999989951
0.85,2641,99.9999991686
0.85,2671,99.9999993175
0.85,2701,99.9999994507
0.85,2731,99.9999995690
0.85,2761,99.9999996690
0.85,2791,99.9999997550
0.85,2821,99.9999998250
0.85,2851,99.9999998810
0.85,2881,99.9999999251
0.85,2911,99.9999999568
0.85,2941,99.9999999802
0.85,2971,99.9999999936
0.85,3001,99.9999999999
0.85,3031,100.0000000000
0.85,3060,100.0000000000
0.9,1,95.9554793880
0.9,31,99.1290865760
0.9,61,99.7242796596
0.9,91,99.8818284995
0.9,121,99.9377292930
0.9,151,99.9601764634
0.9,181,99.9704929865
0.9,211,99.9763918008
0.9,241,99.9808753826
0.9,271,99.9840492338
0.9,301,99.9865876806
0.9,331,99.9886066613
0.9,361,99.9901618452
0.9,391,99.9914091883
0.9,421,99.9924443271
0.9,451,99.9933262711
0.9,481,99.9940987428
0.9,511,99.9947913051
0.9,541,99.9953943937
0.9,571,99.9959095182
0.9,601,99.9963403753
0.9,631,99.9967242556
0.9,661,99.9970719468
0.9,691,99.9973807449
0.9,721,99.9976634231
0.9,751,99.9979129704
0.9,781,99.9981386621
0.9,811,99.9983452574
0.9,841,99.9985341355
0.9,871,99.9987040833
0.9,901,99.9988546062
0.9,931,99.9989877332
0.9,961,99.9991038332
0.9,991,99.9992063551
0.9,1021,99.9992917546
0.9,1051,99.9993654986
0.9,1081,99.9994297584
0.9,1111,99.9994870228
0.9,1141,99.9995379380
0.9,1171,99.9995843103
0.9,1201,99.9996262828
0.9,1231,99.9996633689
0.9,1261,99.9996966543
0.9,1291,99.9997269195
0.9,1321,99.9997544421
0.9,1351,99.9997788287
0.9,1381,99.9998013492
0.9,1411,99.9998219966
0.9,1441,99.9998405060
0.9,1471,99.9998574043
0.9,1501,99.9998729593
0.9,1531,99.9998865649
0.9,1561,99.9998987767
0.9,1591,99.9999095624
0.9,1621,99.9999194314
0.9,1651,99.9999284016
0.9,1681,99.9999362872
0.9,1711,99.9999432801
0.9,1741,99.9999494689
0.9,1771,99.9999550072
0.9,1801,99.9999600480
0.9,1831,99.9999645628
0.9,1861,99.9999685220
0.9,1891,99.9999720685
0.9,1921,99.9999752243
0.9,1951,99.9999780874
0.9,1981,99.9999806547
0.9,2011,99.9999829446
0.9,2041,99.9999850003
0.9,2071,99.9999867645
0.9,2101,99.9999883550
0.9,2131,99.9999897610
0.9,2161,99.9999910195
0.9,2191,99.9999921039
0.9,2221,99.9999930446
0.9,2251,99.9999938697
0.9,2281,99.9999945976
0.9,2311,99.9999952582
0.9,2341,99.9999958590
0.9,2371,99.9999963940
0.9,2401,99.9999968625
0.9,2431,99.9999972658
