twist_angle_deg,n_configs,cumulative_weight
10.0,1621,99.9999820641
10.0,1651,99.9999841851
10.0,1681,99.9999860452
10.0,1711,99.9999876977
10.0,1741,99.9999891620
10.0,1771,99.9999904446
10.0,1801,99.9999915932
10.0,1831,99.9999926141
10.0,1861,99.9999935127
10.0,1891,99.9999942886
10.0,1921,99.9999949901
10.0,1951,99.9999956201
10.0,1981,99.9999961658
10.0,2011,99.9999966511
10.0,2041,99.9999970876
10.0,2071,99.9999974687
10.0,2101,99.9999978098
10.0,2131,99.9999981079
10.0,2161,99.9999983582
10.0,2191,99.9999985795
10.0,2221,99.9999987774
10.0,2251,99.9999989536
10.0,2281,99.9999991034
10.0,2311,99.9999992354
10.0,2341,99.9999993505
10.0,2371,99.9999994516
10.0,2401,99.9999995387
10.0,2431,99.9999996132
10.0,2461,99.9999996772
10.0,2491,99.9999997329
10.0,2521,99.9999997809
10.0,2551,99.9999998212
10.0,2581,99.9999998556
10.0,2611,99.9999998852
10.0,2641,99.9999999098
10.0,2671,99.9999999299
10.0,2701,99.9999999472
10.0,2731,99.9999999617
10.0,2761,99.9999999732
10.0,2791,99.9999999816
10.0,2821,99.9999999879
10.0,2851,99.9999999926
10.0,2881,99.9999999959
10.0,2911,99.9999999982
10.0,2941,99.9999999994
10.0,2971,99.9999999998
10.0,3001,100.0000000000
10.0,3003,100.0000000000
20.0,1,95.1673247067
20.0,31,99.5381552232
20.0,61,99.8673523642
20.0,91,99.9403778259
20.0,121,99.9682966751
20.0,151,99.9797344173
20.0,181,99.9851243351
20.0,211,99.9883466413
20.0,241,99.9905685753
20.0,271,99.9922044344
20.0,301,99.9934638760
20.0,331,99.9944875999
20.0,361,99.9953605463
20.0,391,99.9961163483
20.0,421,99.9967516903
20.0,451,99.9972634368
20.0,481,99.9976982138
20.0,511,99.9980605507
20.0,541,99.9983516484
20.0,571,99.9985828604
20.0,601,99.9987658609
20.0,631,99.9989192558
20.0,661,99.9990502283
20.0,691,99.9991640278
20.0,721,99.9992647210
20.0,751,99.9993505542
20.0,781,99.9994246382
20.0,811,99.9994885546
20.0,841,99.9995446992
20.0,871,99.9995933975
20.0,901,99.9996365792
20.0,931,99.9996746990
20.0,961,99.9997089280
20.0,991,99.9997387958
20.0,1021,99.9997647902
20.0,1051,99.9997886591
20.0,1081,99.9998105044
20.0,1111,99.9998303830
20.0,1141,99.9998485363
20.0,1171,99.9998644467
20.0,1201,99.9998790165
20.0,1231,99.9998919201
20.0,1261,99.9999034123
20.0,1291,99.9999138870
20.0,1321,99.9999231417
20.0,1351,99.9999313534
20.0,1381,99.9999386609
20.0,1411,99.9999452609
20.0,1441,99.9999512422
20.0,1471,99.9999566850
20.0,1501,99.9999614450
20.0,1531,99.9999656790
20.0,1561,99.9999694478
20.0,1591,99.9999728288
20.0,1621,99.9999759217
20.0,1651,99.9999786795
20.0,1681,99.9999812050
20.0,1711,99.9999834675
20.0,1741,99.9999854093
20.0,1771,99.9999870998
20.0,1801,99.9999886093
20.0,1831,99.9999899329
20.0,1861,99.9999911008
20.0,1891,99.9999921570
20.0,1921,99.9999930989
20.0,1951,99.9999939141
20.0,1981,99.9999946366
20.0,2011,99.9999952945
20.0,2041,99.9999958865
20.0,2071,99.9999964058
20.0,2101,99.9999968748
20.0,2131,99.9999972926
20.0,2161,99.9999976605
20.0,2191,99.9999979756
20.0,2221,99.9999982520
20.0,2251,99.9999984924
20.0,2281,99.9999987098
20.0,2311,99.9999989021
20.0,2341,99.9999990692
20.0,2371,99.9999992129
20.0,2401,99.9999993398
20.0,2431,99.9999994478
20.0,2461,99.9999995390
20.0,2491,99.9999996165
20.0,2521,99.9999996853
20.0,2551,99.9999997452
20.0,2581,99.9999997967
20.0,2611,99.9999998378
20.0,2641,99.9999998729
20.0,2671,99.9999999014
20.0,2701,99.9999999252
20.0,2731,99.9999999443
20.0,2761,99.9999999603
20.0,2791,99.9999999730
20.0,2821,99.9999999824
20.0,2851,99.9999999895
20.0,2881,99.9999999941
20.0,2911,99.9999999972
20.0,2941,99.9999999989
20.0,2971,99.9999999997
20.0,3001,100.0000000000
20.0,3003,100.0000000000
30.0,1,94.8709186323
30.0,31,99.5112060467
30.0,61,99.8540801774
30.0,91,99.9347399880
30.0,121,99.9640280247
30.0,151,99.9776452543
30.0,181,99.9834994754
30.0,211,99.9870690257
30.0,241,99.9896114310
30.0,271,99.9914671718
30.0,301,99.9928947021
30.0,331,99.9940225881
30.0,361,99.9949404516
30.0,391,99.9957466614
30.0,421,99.9964301188
30.0,451,99.9969859611
30.0,481,99.9974512547
30.0,511,99.9978330922
30.0,541,99.9981476414
30.0,571,99.9984075116
30.0,601,99.9986143384
30.0,631,99.9987845314
30.0,661,99.9989307738
30.0,691,99.9990569584
30.0,721,99.9991668086
30.0,751,99.9992641516
30.0,781,99.9993474374
30.0,811,99.9994193372
30.0,841,99.9994819584
30.0,871,99.9995362783
30.0,901,99.9995851136
30.0,931,99.9996281432
30.0,961,99.9996655900
30.0,991,99.9996987664
30.0,1021,99.9997282525
30.0,1051,99.9997549469
30.0,1081,99.9997792224
30.0,1111,99.9998017589
30.0,1141,99.9998224700
30.0,1171,99.9998412951
30.0,1201,99.9998584878
30.0,1231,99.9998736863
30.0,1261,99.9998872709
30.0,1291,99.9998995337
30.0,1321,99.9999102674
30.0,1351,99.9999197692
30.0,1381,99.9999282912
30.0,1411,99.9999359474
30.0,1441,99.9999427700
30.0,1471,99.9999490336
30.0,1501,99.9999547394
30.0,1531,99.9999598530
30.0,1561,99.9999642880
30.0,1591,99.9999682988
30.0,1621,99.9999718938
30.0,1651,99.9999751226
30.0,1681,99.9999779736
30.0,1711,99.9999804895
30.0,1741,99.9999827197
30.0,1771,99.9999846924
30.0,1801,99.9999864685
30.0,1831,99.9999880578
30.0,1861,99.9999894424
30.0,1891,99.9999906541
30.0,1921,99.9999917455
30.0,1951,99.9999927212
30.0,1981,99.9999935828
30.0,2011,99.9999943567
30.0,2041,99.9999950429
30.0,2071,99.9999956728
30.0,2101,99.9999962532
30.0,2131,99.9999967546
30.0,2161,99.9999971918
30.0,2191,99.9999975719
30.0,2221,99.9999978983
30.0,2251,99.9999981871
30.0,2281,99.9999984489
30.0,2311,99.9999986746
30.0,2341,99.9999988700
30.0,2371,99.9999990435
30.0,2401,99.9999991997
30.0,2431,99.9999993341
30.0,2461,99.9999994468
30.0,2491,99.9999995424
30.0,2521,99.9999996233
30.0,2551,99.9999996938
30.0,2581,99.9999997543
30.0,2611,99.9999998062
30.0,2641,99.9999998483
30.0,2671,99.9999998823
30.0,2701,99.9999999103
30.0,2731,99.9999999327
30.0,2761,99.9999999513
30.0,2791,99.9999999668
30.0,2821,99.9999999783
30.0,2851,99.9999999871
30.0,2881,99.9999999927
30.0,2911,99.9999999963
30.0,2941,99.9999999984
30.0,2971,99.9999999996
30.0,3001,100.0000000000
30.0,3003,100.0000000000
40.0,1,94.3569357544
40.0,31,99.4988002794
40.0,61,99.8441997899
40.0,91,99.9299855880
40.0,121,99.9607439915
40.0,151,99.9758374093
40.0,181,99.9822222062
40.0,211,99.9861296869
40.0,241,99.9889287088
40.0,271,99.9909765174
40.0,301,99.9925241366
40.0,331,99.9936975766
40.0,361,99.9946614985
40.0,391,99.9954894265
40.0,421,99.9962053333
40.0,451,99.9967869963
40.0,481,99.9972618399
40.0,511,99.9976591040
40.0,541,99.9979892401
40.0,571,99.9982683969
40.0,601,99.9985001915
40.0,631,99.9986936296
40.0,661,99.9988511778
