R_angstrom,state,E_FCI_Ha,E_ExtSQD_Ha,E_CIPSI_EN_SQD_Ha,err_ExtSQD_mHa,err_CIPSI_EN_SQD_mHa,S2_FCI,S2_ExtSQD,S2_CIPSI_EN_SQD
1.95,D2,-156.9788290132,-156.9788268979,-156.9788083250,0.0021,0.0207,0.750000,0.750009,0.750251
2.0,D0,-157.0888377355,-157.0888365262,-157.0888315237,0.0012,0.0062,0.750000,0.750002,0.750009
2.0,D1,-157.0634172837,-157.0634172636,-157.0634132356,0.0000,0.0040,0.750000,0.750000,0.750005
2.0,Q1,-156.9813229718,-156.9813200345,-156.9813076577,0.0029,0.0153,3.750000,3.749992,3.749996
2.0,D2,-156.9804819461,-156.9804798358,-156.9804665229,0.0021,0.0154,0.750000,0.750009,0.750020
2.1,D0,-157.0799531319,-157.0799516812,-157.0799503466,0.0015,0.0028,0.750000,0.750002,0.750003
2.1,D1,-157.0564441902,-157.0564441727,-157.0564391405,0.0000,0.0050,0.750000,0.750000,0.750006
2.1,Q1,-156.9837903115,-156.9837874120,-156.9837792592,0.0029,0.0111,3.750000,3.749992,3.749965
2.1,D2,-156.9829686234,-156.9829665508,-156.9829556775,0.0021,0.0129,0.750000,0.750010,0.750051
2.2,D0,-157.0706779434,-157.0706762245,-157.0706761899,0.0017,0.0018,0.750000,0.750003,0.750002
2.2,D1,-157.0488507084,-157.0488506928,-157.0488472554,0.0000,0.0035,0.750000,0.750000,0.750005
2.2,Q1,-156.9855694721,-156.9855666694,-156.9855594434,0.0028,0.0100,3.750000,3.749992,3.749971
2.2,D2,-156.9847562097,-156.9847542079,-156.9847444161,0.0020,0.0118,0.750000,0.750009,0.750044
2.3,D0,-157.0613302309,-157.0613282152,-157.0613282771,0.0020,0.0020,0.750000,0.750003,0.750002
2.3,D1,-157.0409970456,-157.0409970315,-157.0409941545,0.0000,0.0029,0.750000,0.750000,0.750004
2.3,Q1,-156.9869884716,-156.9869858149,-156.9869786898,0.0027,0.0098,3.750000,3.749993,3.749983
2.3,D2,-156.9861750789,-156.9861731738,-156.9861639479,0.0019,0.0111,0.750000,0.750009,0.750031
2.4,D0,-157.0521160319,-157.0521136865,-157.0521119090,0.0023,0.0041,0.750000,0.750004,0.750007
2.4,D1,-157.0331271702,-157.0331271576,-157.0331246150,0.0000,0.0026,0.750000,0.750000,0.750003
2.4,Q1,-156.9882531612,-156.9882506882,-156.9882411995,0.0025,0.0120,3.750000,3.749994,3.749996
2.4,D2,-156.9874335349,-156.9874317448,-156.9874215610,0.0018,0.0120,0.750000,0.750007,0.750017
2.5,D0,-157.0431607812,-157.0431580678,-157.0431567565,0.0027,0.0040,0.750000,0.750005,0.750007
