R_angstrom,n_configs,cumulative_weight
1.45,3401,100.0000000000
1.45,3432,100.0000000000
1.5,1,99.1952429656
1.5,35,99.9829601521
1.5,69,99.9958494340
1.5,103,99.9985321647
1.5,137,99.9993968890
1.5,171,99.9997157928
1.5,205,99.9998501499
1.5,239,99.9999109436
1.5,273,99.9999432233
1.5,307,99.9999627582
1.5,341,99.9999744757
1.5,375,99.9999821389
1.5,409,99.9999872192
1.5,443,99.9999907008
1.5,477,99.9999933911
1.5,511,99.9999952861
1.5,545,99.9999965985
1.5,579,99.9999975049
1.5,613,99.9999981454
1.5,647,99.9999986044
1.5,681,99.9999989216
1.5,715,99.9999991632
1.5,749,99.9999993490
1.5,783,99.9999994883
1.5,817,99.9999995941
1.5,851,99.9999996743
1.5,885,99.9999997365
1.5,919,99.9999997844
1.5,953,99.9999998226
1.5,987,99.9999998545
1.5,1021,99.9999998807
1.5,1055,99.9999999016
1.5,1089,99.9999999184
1.5,1123,99.9999999325
1.5,1157,99.9999999437
1.5,1191,99.9999999529
1.5,1225,99.9999999606
1.5,1259,99.9999999670
1.5,1293,99.9999999723
1.5,1327,99.9999999766
1.5,1361,99.9999999802
1.5,1395,99.9999999833
1.5,1429,99.9999999859
1.5,1463,99.9999999882
1.5,1497,99.9999999902
1.5,1531,99.9999999919
1.5,1565,99.9999999933
1.5,1599,99.9999999944
1.5,1633,99.9999999954
1.5,1667,99.9999999963
1.5,1701,99.9999999970
1.5,1735,99.9999999976
1.5,1769,99.9999999980
1.5,1803,99.9999999984
1.5,1837,99.9999999987
1.5,1871,99.9999999990
1.5,1905,99.9999999992
1.5,1939,99.9999999993
1.5,1973,99.9999999994
1.5,2007,99.9999999995
1.5,2041,99.9999999996
1.5,2075,99.9999999997
1.5,2109,99.9999999997
1.5,2143,99.9999999998
1.5,2177,99.9999999998
1.5,2211,99.9999999999
1.5,2245,99.9999999999
1.5,2279,99.9999999999
1.5,2313,99.9999999999
1.5,2347,99.9999999999
1.5,2381,100.0000000000
1.5,2415,100.0000000000
1.5,2449,100.0000000000
1.5,2483,100.0000000000
1.5,2517,100.0000000000
1.5,2551,100.0000000000
1.5,2585,100.0000000000
1.5,2619,100.0000000000
1.5,2653,100.0000000000
1.5,2687,100.0000000000
1.5,2721,100.0000000000
1.5,2755,100.0000000000
1.5,2789,100.0000000000
1.5,2823,100.0000000000
1.5,2857,100.0000000000
1.5,2891,100.0000000000
1.5,2925,100.0000000000
1.5,2959,100.0000000000
1.5,2993,100.0000000000
1.5,3027,100.0000000000
1.5,3061,100.0000000000
1.5,3095,100.0000000000
1.5,3129,100.0000000000
1.5,3163,100.0000000000
1.5,3197,100.0000000000
1.5,3231,100.0000000000
1.5,3265,100.0000000000
1.5,3299,100.0000000000
1.5,3333,100.0000000000
1.5,3367,100.0000000000
1.5,3401,100.0000000000
1.5,3432,100.0000000000
1.55,1,99.2017173236
1.55,35,99.9830112693
1.55,69,99.9959202332
1.55,103,99.9985404363
1.55,137,99.9993995114
1.55,171,99.9997145891
1.55,205,99.9998516229
1.55,239,99.9999113084
1.55,273,99.9999442437
1.55,307,99.9999632645
1.55,341,99.9999747347
1.55,375,99.9999824547
1.55,409,99.9999874284
1.55,443,99.9999909228
1.55,477,99.9999935346
1.55,511,99.9999953737
1.55,545,99.9999966624
1.55,579,99.9999975502
1.55,613,99.9999981829
1.55,647,99.9999986425
1.55,681,99.9999989729
1.55,715,99.9999992035
1.55,749,99.9999993793
1.55,783,99.9999995113
1.55,817,99.9999996128
1.55,851,99.9999996906
1.55,885,99.9999997485
1.55,919,99.9999997943
1.55,953,99.9999998307
1.55,987,99.9999998600
1.55,1021,99.9999998852
1.55,1055,99.9999999057
1.55,1089,99.9999999221
1.55,1123,99.9999999352
1.55,1157,99.9999999457
1.55,1191,99.9999999546
1.55,1225,99.9999999621
1.55,1259,99.9999999683
1.55,1293,99.9999999735
1.55,1327,99.9999999778
1.55,1361,99.9999999814
1.55,1395,99.9999999843
1.55,1429,99.9999999868
1.55,1463,99.9999999890
1.55,1497,99.9999999908
1.55,1531,99.9999999924
1.55,1565,99.9999999938
1.55,1599,99.9999999949
1.55,1633,99.9999999958
1.55,1667,99.9999999966
1.55,1701,99.9999999972
1.55,1735,99.9999999978
1.55,1769,99.9999999982
1.55,1803,99.9999999985
1.55,1837,99.9999999988
1.55,1871,99.9999999990
1.55,1905,99.9999999992
1.55,1939,99.9999999994
1.55,1973,99.9999999995
1.55,2007,99.9999999996
1.55,2041,99.9999999996
1.55,2075,99.9999999997
1.55,2109,99.9999999998
1.55,2143,99.9999999998
1.55,2177,99.9999999999
1.55,2211,99.9999999999
1.55,2245,99.9999999999
1.55,2279,99.9999999999
1.55,2313,99.9999999999
1.55,2347,100.0000000000
1.55,2381,100.0000000000
1.55,2415,100.0000000000
1.55,2449,100.0000000000
1.55,2483,100.0000000000
1.55,2517,100.0000000000
1.55,2551,100.0000000000
1.55,2585,100.0000000000
1.55,2619,100.0000000000
1.55,2653,100.0000000000
1.55,2687,100.0000000000
1.55,2721,100.0000000000
1.55,2755,100.0000000000
1.55,2789,100.0000000000
1.55,2823,100.0000000000
1.55,2857,100.0000000000
1.55,2891,100.0000000000
1.55,2925,100.0000000000
1.55,2959,100.0000000000
1.55,2993,100.0000000000
1.55,3027,100.0000000000
1.55,3061,100.0000000000
1.55,3095,100.0000000000
1.55,3129,100.0000000000
1.55,3163,100.0000000000
1.55,3197,100.0000000000
1.55,3231,100.0000000000
1.55,3265,100.0000000000
1.55,3299,100.0000000000
1.55,3333,100.0000000000
1.55,3367,100.0000000000
1.55,3401,100.0000000000
1.55,3432,100.0000000000
1.6,1,99.2076302707
1.6,35,99.9830443868
1.6,69,99.9959420659
1.6,103,99.9985539091
1.6,137,99.9994012207
1.6,171,99.9997203441
1.6,205,99.9998556271
1.6,239,99.9999141914
1.6,273,99.9999454224
1.6,307,99.9999637348
1.6,341,99.9999750825
1.6,375,99.9999827821
1.6,409,99.9999878241
1.6,443,99.9999912174
1.6,477,99.9999937432
1.6,511,99.9999954768
1.6,545,99.9999967230
1.6,579,99.9999975872
1.6,613,99.9999982323
1.6,647,99.9999986975
1.6,681,99.9999990231
1.6,715,99.9999992438
1.6,749,99.9999994089
1.6,783,99.9999995328
1.6,817,99.9999996282
1.6,851,99.9999997037
1.6,885,99.9999997602
1.6,919,99.9999998035
1.6,953,99.9999998377
1.6,987,99.9999998657
1.6,1021,99.9999998893
1.6,1055,99.9999999089
1.6,1089,99.9999999250
1.6,1123,99.9999999374
1.6,1157,99.9999999476
1.6,1191,99.9999999562
1.6,1225,99.9999999635
1.6,1259,99.9999999697
1.6,1293,99.9999999748
1.6,1327,99.9999999791
1.6,1361,99.9999999825
1.6,1395,99.9999999853
1.6,1429,99.9999999877
1.6,1463,99.9999999898
1.6,1497,99.9999999915
1.6,1531,99.9999999930
1.6,1565,99.9999999942
1.6,1599,99.9999999952
1.6,1633,99.9999999961
1.6,1667,99.9999999969
1.6,1701,99.9999999975
1.6,1735,99.9999999980
1.6,1769,99.9999999983
1.6,1803,99.9999999987
1.6,1837,99.9999999989
1.6,1871,99.9999999991
1.6,1905,99.9999999993
1.6,1939,99.9999999994
1.6,1973,99.9999999995
1.6,2007,99.9999999996
1.6,2041,99.9999999997
1.6,2075,99.9999999997
1.6,2109,99.9999999998
1.6,2143,99.9999999998
1.6,2177,99.9999999999
1.6,2211,99.9999999999
1.6,2245,99.9999999999
1.6,2279,99.9999999999
1.6,2313,99.9999999999
1.6,2347,100.0000000000
1.6,2381,100.0000000000
1.6,2415,100.0000000000
1.6,2449,100.0000000000
1.6,2483,100.0000000000
1.6,2517,100.0000000000
1.6,2551,100.0000000000
1.6,2585,100.0000000000
1.6,2619,100.0000000000
1.6,2653,100.0000000000
1.6,2687,100.0000000000
1.6,2721,100.0000000000
1.6,2755,100.0000000000
1.6,2789,100.0000000000
1.6,2823,100.0000000000
1.6,2857,100.0000000000
1.6,2891,100.0000000000
1.6,2925,100.0000000000
1.6,2959,100.0000000000
1.6,2993,100.0000000000
1.6,3027,100.0000000000
1.6,3061,100.0000000000
1.6,3095,100.0000000000
1.6,3129,100.0000000000
1.6,3163,100.0000000000
1.6,3197,100.0000000000
1.6,3231,100.0000000000
1.6,3265,100.0000000000
1.6,3299,100.0000000000
1.6,3333,100.0000000000
1.6,3367,100.0000000000
1.6,3401,100.0000000000
1.6,3432,100.0000000000
1.65,1,99.2129807275
1.65,35,99.9830750289
1.65,69,99.9959432884
1.65,103,99.9985667290
1.65,137,99.9993975014
1.65,171,99.9997266947
1.65,205,99.9998596155
1.65,239,99.9999168446
1.65,273,99.9999467924
1.65,307,99.9999645696
1.65,341,99.9999757558
