R_angstrom,method,orbital_index,occupation
1.6,ref,9,0.00163665
1.6,ref,10,0.00066548
1.6,ref,11,0.00014062
1.6,ref,12,0.00002159
1.6,ref,13,0.00000441
1.6,ext,0,1.99988961
1.6,ext,1,1.99935619
1.6,ext,2,1.99888730
1.6,ext,3,1.99726242
1.6,ext,4,1.99606122
1.6,ext,5,1.98908040
1.6,ext,6,1.00544411
1.6,ext,7,0.00595226
1.6,ext,8,0.00559988
1.6,ext,9,0.00163558
1.6,ext,10,0.00066421
1.6,ext,11,0.00014075
1.6,ext,12,0.00002159
1.6,ext,13,0.00000448
1.6,cipsi,0,1.99989010
1.6,cipsi,1,1.99935828
1.6,cipsi,2,1.99888842
1.6,cipsi,3,1.99726458
1.6,cipsi,4,1.99606286
1.6,cipsi,5,1.98908317
1.6,cipsi,6,1.00544281
1.6,cipsi,7,0.00594970
1.6,cipsi,8,0.00559809
1.6,cipsi,9,0.00163293
1.6,cipsi,10,0.00066256
1.6,cipsi,11,0.00014031
1.6,cipsi,12,0.00002161
1.6,cipsi,13,0.00000456
1.65,ref,0,1.99989571
1.65,ref,1,1.99935433
1.65,ref,2,1.99888068
1.65,ref,3,1.99724127
1.65,ref,4,1.99603095
1.65,ref,5,1.98918375
1.65,ref,6,1.00549041
1.65,ref,7,0.00599138
1.65,ref,8,0.00544196
1.65,ref,9,0.00163492
1.65,ref,10,0.00069428
1.65,ref,11,0.00013576
1.65,ref,12,0.00002076
1.65,ref,13,0.00000385
1.65,ext,0,1.99989572
1.65,ext,1,1.99935536
1.65,ext,2,1.99888084
1.65,ext,3,1.99724284
1.65,ext,4,1.99603185
1.65,ext,5,1.98918568
1.65,ext,6,1.00548848
1.65,ext,7,0.00599007
1.65,ext,8,0.00544194
1.65,ext,9,0.00163373
1.65,ext,10,0.00069290
1.65,ext,11,0.00013590
1.65,ext,12,0.00002076
1.65,ext,13,0.00000393
1.65,cipsi,0,1.99989618
1.65,cipsi,1,1.99936009
1.65,cipsi,2,1.99888220
1.65,cipsi,3,1.99724656
1.65,cipsi,4,1.99603562
1.65,cipsi,5,1.98919081
1.65,cipsi,6,1.00548594
1.65,cipsi,7,0.00598712
1.65,cipsi,8,0.00543894
1.65,cipsi,9,0.00162773
1.65,cipsi,10,0.00068782
1.65,cipsi,11,0.00013546
1.65,cipsi,12,0.00002090
1.65,cipsi,13,0.00000463
1.7,ref,0,1.99990136
1.7,ref,1,1.99935101
1.7,ref,2,1.99887181
1.7,ref,3,1.99721873
1.7,ref,4,1.99599972
1.7,ref,5,1.98928483
1.7,ref,6,1.00554174
1.7,ref,7,0.00602892
1.7,ref,8,0.00528154
1.7,ref,9,0.00164017
1.7,ref,10,0.00072606
1.7,ref,11,0.00013084
1.7,ref,12,0.00001993
1.7,ref,13,0.00000335
1.7,ext,0,1.99990136
1.7,ext,1,1.99935218
1.7,ext,2,1.99887197
1.7,ext,3,1.99722050
1.7,ext,4,1.99600077
1.7,ext,5,1.98928700
1.7,ext,6,1.00553957
1.7,ext,7,0.00602735
1.7,ext,8,0.00528152
1.7,ext,9,0.00163885
1.7,ext,10,0.00072456
1.7,ext,11,0.00013101
1.7,ext,12,0.00001993
1.7,ext,13,0.00000344
1.7,cipsi,0,1.99990174
1.7,cipsi,1,1.99935740
1.7,cipsi,2,1.99887251
1.7,cipsi,3,1.99722828
1.7,cipsi,4,1.99600460
1.7,cipsi,5,1.98929738
1.7,cipsi,6,1.00553701
1.7,cipsi,7,0.00602049
1.7,cipsi,8,0.00527292
1.7,cipsi,9,0.00163243
1.7,cipsi,10,0.00071938
1.7,cipsi,11,0.00013137
1.7,cipsi,12,0.00002037
1.7,cipsi,13,0.00000412
1.75,ref,0,1.99990660
1.75,ref,1,1.99934565
1.75,ref,2,1.99886168
1.75,ref,3,1.99719217
1.75,ref,4,1.99596682
1.75,ref,5,1.98938111
1.75,ref,6,1.00559914
1.75,ref,7,0.00606631
1.75,ref,8,0.00512015
1.75,ref,9,0.00165299
1.75,ref,10,0.00075942
1.75,ref,11,0.00012596
1.75,ref,12,0.00001909
1.75,ref,13,0.00000291
1.75,ext,0,1.99990659
1.75,ext,1,1.99934698
1.75,ext,2,1.99886185
1.75,ext,3,1.99719417
1.75,ext,4,1.99596805
1.75,ext,5,1.98938356
1.75,ext,6,1.00559669
1.75,ext,7,0.00606443
1.75,ext,8,0.00512013
1.75,ext,9,0.00165150
1.75,ext,10,0.00075778
1.75,ext,11,0.00012615
1.75,ext,12,0.00001909
1.75,ext,13,0.00000302
1.75,cipsi,0,1.99990688
1.75,cipsi,1,1.99934843
1.75,cipsi,2,1.99886273
1.75,cipsi,3,1.99719570
1.75,cipsi,4,1.99596856
1.75,cipsi,5,1.98938582
1.75,cipsi,6,1.00559634
1.75,cipsi,7,0.00606375
1.75,cipsi,8,0.00511782
1.75,cipsi,9,0.00164957
1.75,cipsi,10,0.00075640
1.75,cipsi,11,0.00012573
1.75,cipsi,12,0.00001917
